ROICentroidsXInPixels,ROICentroidsYInPixels,anglesInDeg,anglesInRad,fileID,golgiAreaInSquareMicrons,golgiCentroidsXInPixels,golgiCentroidsYInPixels,golgiPerimeterInMicrons,nucleiAreaInSquareMicrons,nucleiCentroidsXInPixels,nucleiCentroidsYInPixels,nucleiPerimeterInMicrons
111.0,111.0,-0.28,-0.0,Animal 1_2hrs_003,2.83,108.97,199.75,9.44,127.97,108.53,108.94,43.9
111.0,111.0,-45.93,-0.8,Animal 1_2hrs_003,54.4,128.67,127.5,67.98,85.94,91.94,91.95,38.9
111.0,111.0,35.85,0.63,Animal 1_2hrs_003,37.14,69.05,164.36,52.75,104.75,110.42,107.1,40.54
111.0,111.0,36.05,0.63,Animal 1_2hrs_003,47.37,77.34,178.67,47.12,44.89,110.68,132.88,31.1
111.0,111.0,6.12,0.11,Animal 1_2hrs_004,0.45,108.08,215.87,3.21,142.37,119.11,113.0,49.64
111.0,111.0,24.89,0.43,Animal 1_2hrs_004,38.62,81.87,194.86,60.73,2.61,113.64,126.4,16.38
111.0,111.0,3.98,0.07,Animal 1_2hrs_004,48.67,105.18,171.92,74.45,75.03,108.57,123.15,35.54
111.0,111.0,-148.12,-2.59,Animal 1_2hrs_004,143.99,146.83,95.6,126.39,125.28,133.81,116.53,46.78
111.0,111.0,44.11,0.77,Animal 1_2hrs_005,49.32,55.39,160.91,77.96,143.84,109.88,104.69,47.48
111.0,111.0,5.41,0.09,Animal 1_2hrs_006,17.04,101.51,150.19,23.62,67.8,105.62,106.79,32.24
111.0,111.0,78.66,1.37,Animal 1_2hrs_006,47.27,47.97,121.67,87.37,108.37,114.69,108.29,41.29
111.0,111.0,52.32,0.91,Animal 1_2hrs_006,55.66,58.72,136.06,92.88,180.98,132.82,78.82,74.37
111.0,111.0,-66.37,-1.16,Animal 1_2hrs_007,131.88,157.94,116.5,132.18,83.5,113.48,97.04,38.68
111.0,111.0,13.23,0.23,Animal 1_2hrs_007,26.48,99.89,130.73,31.08,103.84,107.56,98.1,50.16
111.0,111.0,-17.75,-0.31,Animal 1_2hrs_008,53.06,135.26,175.04,52.06,152.11,109.47,94.46,48.69
111.0,111.0,30.03,0.52,Animal 1_2hrs_008,4.49,45.06,217.56,12.95,217.84,114.26,97.87,66.8
111.0,111.0,-73.69,-1.29,Animal 1_2hrs_008,0.62,165.94,124.4,3.53,116.88,114.35,109.3,53.05
111.0,111.0,-64.13,-1.12,Animal 1_2hrs_008,44.0,159.77,135.93,60.45,118.72,101.7,107.78,45.08
101.0,111.0,-9.08,-0.16,Animal 1_2hrs_009,37.98,84.79,183.69,55.83,172.66,70.96,97.16,72.48
111.0,111.0,47.87,0.84,Animal 1_2hrs_009,49.16,65.14,155.57,87.35,106.25,112.29,112.92,42.23
111.0,111.0,22.14,0.39,Animal 1_2hrs_009,34.68,66.21,177.09,49.66,111.89,97.39,100.48,44.23
111.0,111.0,-22.85,-0.4,Animal 1_2hrs_009,1.19,165.47,216.24,5.42,106.21,117.7,102.9,49.46
111.0,111.0,-159.95,-2.79,Animal 1_2hrs_009,97.44,123.12,32.25,118.73,162.26,108.2,73.1,103.96
111.0,111.0,3.64,0.06,Animal 1_2hrs_009,39.25,103.07,192.58,69.14,117.21,108.34,109.72,47.77
111.0,111.0,-39.54,-0.69,Animal 1_2hrs_009,28.33,168.49,180.62,34.73,102.04,109.84,109.57,43.08
111.0,111.0,19.42,0.34,Animal 1_2hrs_009,33.45,84.57,167.74,62.23,80.25,104.54,111.1,35.35
111.0,111.0,10.41,0.18,Animal 1_2hrs_010,31.26,90.79,163.03,44.13,94.27,101.81,103.07,40.5
111.0,111.0,15.21,0.27,Animal 1_2hrs_010,71.09,86.74,174.61,68.51,142.63,106.14,103.25,48.51
111.0,111.0,-30.51,-0.53,Animal 1_2hrs_010,104.1,137.86,159.5,129.44,215.62,105.87,105.2,65.26
111.0,111.0,0.65,0.01,Animal 1_2hrs_010,35.88,110.04,187.99,50.94,31.06,110.58,139.53,26.25
111.0,111.0,47.3,0.83,Animal 1_2hrs_010,51.6,66.97,160.38,82.48,105.29,112.86,118.03,42.16
111.0,111.0,21.2,0.37,Animal 1_2hrs_010,36.9,84.18,180.39,44.19,113.26,114.04,103.39,44.38
111.0,111.0,-23.07,-0.4,Animal 1_2hrs_010,1.55,143.15,196.5,4.6,106.98,93.92,80.93,47.28
111.0,111.0,-28.92,-0.5,Animal 1_2hrs_011,31.6,119.83,124.38,72.44,122.43,105.35,98.17,46.34
111.0,111.0,58.15,1.01,Animal 1_2hrs_011,70.63,44.92,161.69,97.55,76.69,116.35,117.31,39.87
111.0,111.0,8.95,0.16,Animal 1_2hrs_011,0.69,108.0,197.1,3.01,40.73,122.26,106.6,27.87
111.0,111.0,69.45,1.21,Animal 1_2hrs_012,51.06,38.79,156.73,82.7,3.56,142.74,117.75,7.06
111.0,111.0,-57.16,-1.0,Animal 1_2hrs_012,35.2,174.85,147.23,61.96,123.69,108.12,104.16,55.73
111.0,111.0,25.03,0.44,Animal 1_2hrs_012,33.71,76.27,169.83,45.68,90.42,104.76,108.81,37.24
111.0,111.0,13.03,0.23,Animal 1_2hrs_012,31.98,88.38,172.24,42.37,132.93,103.2,108.25,48.68
111.0,111.0,26.41,0.46,Animal 1_2hrs_013,33.86,106.68,162.49,48.14,67.07,132.25,110.99,33.65
111.0,111.0,-83.52,-1.46,Animal 1_2hrs_013,211.0,92.42,79.47,220.64,162.43,76.45,77.66,65.52
111.0,111.0,114.44,2.0,Animal 1_2hrs_013,23.26,73.88,88.41,59.52,136.88,119.32,109.06,58.02
107.0,111.0,-49.73,-0.87,Animal 1_2hrs_014,32.72,167.64,161.61,55.38,169.73,105.2,108.7,65.37
111.0,111.0,29.24,0.51,Animal 1_2hrs_014,25.54,86.72,152.41,47.9,91.38,114.76,102.3,41.95
111.0,111.0,33.41,0.58,Animal 1_2hrs_014,78.09,77.38,165.91,80.75,107.44,110.74,115.34,44.74
111.0,111.0,3.66,0.06,Animal 1_2hrs_014,0.24,93.24,172.67,1.86,255.53,98.37,92.32,83.68
111.0,111.0,34.07,0.59,Animal 1_2hrs_014,28.6,78.46,147.68,56.76,99.19,113.05,96.53,39.87
111.0,111.0,-87.01,-1.52,Animal 1_2hrs_014,64.39,156.01,132.27,144.83,84.94,116.54,130.21,63.27
111.0,111.0,82.03,1.43,Animal 1_2hrs_014,37.1,52.52,146.48,77.57,68.81,99.86,139.85,44.04
111.0,111.0,24.15,0.42,Animal 1_2hrs_015,35.82,89.95,163.0,60.82,127.07,118.48,99.37,45.2
111.0,111.0,46.59,0.81,Animal 1_2hrs_015,1.61,17.35,147.93,9.97,223.53,103.21,66.69,113.81
84.0,111.0,-45.04,-0.79,Animal 1_2hrs_016,3.49,158.84,213.69,8.49,63.04,52.9,107.88,38.61
111.0,111.0,64.31,1.12,Animal 1_2hrs_016,151.15,61.62,146.35,155.44,154.75,96.06,129.79,57.2
111.0,111.0,37.17,0.65,Animal 1_2hrs_017,18.85,57.75,192.26,37.62,194.45,112.71,119.78,87.89
111.0,111.0,34.38,0.6,Animal 1_2hrs_017,54.63,52.86,179.78,91.48,158.33,112.14,93.16,63.82
111.0,111.0,-7.74,-0.14,Animal 1_2hrs_017,39.67,114.47,189.51,60.84,152.16,102.93,104.56,52.5
111.0,111.0,4.34,0.08,Animal 1_2hrs_018,26.66,115.28,171.84,27.42,74.77,119.68,113.93,35.39
111.0,111.0,54.3,0.95,Animal 1_2hrs_018,2.41,61.22,130.85,5.89,262.71,94.12,107.21,82.11
111.0,111.0,56.25,0.98,Animal 1_2hrs_018,13.52,8.73,186.61,29.47,129.45,114.48,115.96,50.45
111.0,111.0,55.57,0.97,Animal 1_2hrs_019,34.98,29.24,172.57,52.27,59.6,96.67,126.35,32.23
111.0,111.0,-25.14,-0.44,Animal 1_2hrs_019,37.78,137.49,174.75,71.84,148.98,106.92,109.6,50.8
111.0,111.0,53.62,0.94,Animal 1_2hrs_019,61.7,42.15,156.62,55.14,195.47,112.8,104.56,62.75
111.0,111.0,-44.57,-0.78,Animal 1_2hrs_019,58.9,148.78,147.02,43.99,155.05,120.42,118.22,60.65
111.0,111.0,-7.18,-0.13,Animal 1_2hrs_019,26.51,116.82,166.74,29.78,74.77,109.54,109.01,38.29
111.0,111.0,64.68,1.13,Animal 1_2hrs_019,0.98,9.42,146.92,3.6,262.95,85.2,111.07,84.04
107.0,111.0,19.83,0.35,Animal 1_2hrs_020,27.73,75.52,168.32,58.63,90.5,98.61,104.31,42.97
111.0,111.0,69.33,1.21,Animal 1_2hrs_020,90.56,46.74,112.97,181.72,173.64,87.64,97.54,80.38
111.0,111.0,-14.58,-0.25,Animal 1_2hrs_020,37.17,117.73,148.27,73.94,90.02,101.77,86.9,39.7
111.0,111.0,3.73,0.07,Animal 1_2hrs_020,27.83,102.84,185.1,36.68,98.02,107.08,120.08,55.34
111.0,111.0,-30.04,-0.52,Animal 1_2hrs_020,46.42,155.52,163.81,83.24,164.16,116.02,95.52,71.42
111.0,111.0,93.06,1.62,Animal 1_2hrs_021,73.48,28.97,101.72,105.1,192.0,91.11,105.04,76.47
111.0,111.0,43.31,0.76,Animal 1_2hrs_021,43.5,45.95,177.93,72.62,162.19,99.97,120.63,68.37
111.0,111.0,9.77,0.17,Animal 1_2hrs_021,27.4,99.73,180.37,31.56,99.05,110.93,115.32,49.72
111.0,111.0,64.18,1.12,Animal 1_2hrs_022,42.41,36.69,154.28,71.74,77.5,108.58,119.5,57.12
111.0,111.0,-1.61,-0.03,Animal 1_2hrs_022,64.09,116.37,187.53,113.74,192.08,114.27,113.1,74.78
111.0,111.0,16.31,0.28,Animal 1_2hrs_022,66.55,98.37,165.26,62.83,157.17,117.63,99.42,60.18
111.0,111.0,-13.56,-0.24,Animal 1_2hrs_023,1.38,132.2,194.64,4.27,118.86,109.81,101.76,48.46
111.0,111.0,-52.94,-0.92,Animal 1_2hrs_023,26.12,199.99,189.92,24.33,61.11,105.1,118.27,36.88
111.0,111.0,0.28,0.0,Animal 1_2hrs_023,18.95,102.5,165.37,23.5,82.09,102.76,113.11,35.68
111.0,111.0,16.53,0.29,Animal 1_2hrs_023,39.13,105.07,184.47,50.76,102.14,125.57,115.37,40.25
111.0,111.0,34.61,0.6,Animal 1_2hrs_024,34.62,64.59,175.95,45.32,112.07,106.66,114.98,42.11
111.0,111.0,134.34,2.34,Animal 1_2hrs_025,99.0,56.31,73.94,97.64,114.86,89.26,106.14,50.54
111.0,111.0,51.43,0.9,Animal 1_2hrs_025,41.62,48.35,149.36,81.2,109.28,109.76,100.39,56.21
